"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 23 16:31:52 IST 2023","Thu Feb 23 16:32:00 IST 2023","8279","","Spicejet Portal Testing","","","","Scenario 2",""
"passed","Thu Feb 23 16:31:52 IST 2023","Thu Feb 23 16:31:58 IST 2023","5676","","Amazon Portal Testing","","","","Scenario 1",""
